metric_id,label,domain,page,description,formula,aggregation,allowed_aggregations,unit,status,official_for_chatbot,realtime_live_query,execution_kind,executor,executor_compute_file,summary_field,registry_payload_path,registry_sample_size_path,registry_definition,registry_count_from_clients,supported_filters,sources_schema_table_column,sources_tables,sources_columns,aliases,limitations,page_hint,questions,legacy_ids_pointing_here,in_catalog,in_registry,notes_technical
insufficient_segment_data,Dados insuficientes (segmento),general,Dados Gerais,Clientes sem renda nem critério suficiente para segmentar.,Clientes sem renda nem critério suficiente para segmentar.,,,clients,,no,no,,,,,,,,no,,,,,dados insuficientes|clientes com dados insuficientes|sem dados suficientes para segmento|segmento dados insuficientes,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#insufficient_segment_data
liquidity_reserve_distribution,Distribuição da reserva de liquidez,general,Dados Gerais,Distribuição da reserva de liquidez entre clientes com valor numérico válido.,Agrupa reserva_liquidez válida em faixas; cobertura parcial da carteira.,,,clients,Sim,yes,no,,,,,,,,no,,public.client_financial_data.undefined,client_financial_data,,,client_financial_data.reserva_liquidez,,,,yes,yes,confiabilidade-indicadores - Página1 (1).csv | Dados Gerais | Distribuição da reserva de liquidez | Gráfico
median_last_contribution,Último aporte médio,general,Dados Gerais,Mediana do último aporte válido (typicalLastContribution).,Mediana dos valores numéricos válidos.,,,currency,Sim,yes,no,,,,,,,,no,,public.client_financial_data.ultimo_aporte,client_financial_data,ultimo_aporte,ultimo aporte tipico|aporte tipico|mediana do ultimo aporte|ultimo aporte mediano|qual o ultimo aporte tipico,client_financial_data.ultimo_aporte ausente/inválido ou diagnóstico financeiro inexistente.,,,,yes,yes,portal-metric-catalog.mjs#median_last_contribution
median_liquidity_reserve,Reserva de liquidez média,general,Dados Gerais,Mediana da reserva de liquidez válida (typicalLiquidityReserve).,Mediana dos valores numéricos válidos.,,,currency,Sim,yes,no,,,,,,,,no,,public.client_financial_data.reserva_liquidez,client_financial_data,reserva_liquidez,reserva de liquidez tipica|reserva tipica|liquidez tipica|mediana da reserva de liquidez|reserva de liquidez mediana|qual a reserva de liquidez tipica,client_financial_data.reserva_liquidez ausente/inválido ou diagnóstico financeiro inexistente.,,,,yes,yes,portal-metric-catalog.mjs#median_liquidity_reserve
median_monthly_income,Renda mensal média,general,Dados Gerais,Mediana da última renda mensal válida (typicalMonthlyIncome). A mediana reduz o efeito de valores extremos.,Mediana de ultima_renda_mensal válida dos clientes com diagnóstico financeiro.,,,currency,Sim,yes,no,,,,,,,,no,,public.client_financial_data.ultima_renda_mensal,client_financial_data,ultima_renda_mensal,renda mensal tipica|renda tipica|renda mensal|mediana da renda|mediana da renda mensal|renda mensal mediana|renda mediana|qual a renda mensal|qual a renda mensal tipica|qual e a renda mensal tipica|onde fica a renda mensal|onde esta a renda mensal,client_financial_data.ultima_renda_mensal ausente/inválido ou diagnóstico financeiro inexistente.,,,,yes,yes,portal-metric-catalog.mjs#median_monthly_income
median_stay_days,Permanência média,general,Dados Gerais,"Mediana dos dias de permanência analítica (typicalStayDays). O card da UI chama isso de “Permanência média”, mas o valor é a mediana. Inclui ajuste +365 quando ciclo≥2 e permanência base < 365. Não é a duração usada em Kaplan–Meier/cohort.",Mediana de stayDays analíticos (base + ajuste +365 se ciclo≥2 e base<365); média disponível em averageStayDays.,,,days,Sim,yes,no,,,,,,,,no,,public.clients.data_inicio_ciclo,clients,data_inicio_ciclo,permanencia tipica|permanencia mediana|tempo de permanencia|tempo de casa tipico|mediana de permanencia|permanencia media|permanência média|permanencia|o que e permanencia|o que significa permanencia,O nome da UI diz média; o valor principal é mediana.,,,,yes,yes,portal-metric-catalog.mjs#median_stay_days
monthly_income_distribution,Distribuição da renda mensal,general,Dados Gerais,Distribuição da renda mensal entre clientes com valor numérico válido.,Agrupa ultima_renda_mensal válida em faixas; cobertura parcial da carteira.,,,clients,Sim,yes,no,,,,,,,,no,,public.client_financial_data.undefined,client_financial_data,,,client_financial_data.ultima_renda_mensal,,,,yes,yes,confiabilidade-indicadores - Página1 (1).csv | Dados Gerais | Distribuição da renda mensal | Gráfico
non_active_clients,Clientes não ativos,general,Dados Gerais,Congelados + cancelados sem data confirmada (+ outros não ativos reconhecidos). Não inclui ativos nem cancelados confirmados.,Cliente distinto presente em clients após exclusões operacionais.,,,clients,Sim,yes,no,,,,,,,,no,,public.clients.undefined,clients,,clientes nao ativos|quantos clientes nao ativos|fora da carteira ativa,,,,,yes,yes,portal-metric-catalog.mjs#non_active_clients
over_clients,Clientes OVER,general,Dados Gerais,Clientes classificados no segmento OVER.,Clientes classificados no segmento OVER.,,,clients,,no,no,,,,,,,,no,,,,,clientes over|quantos over|segmento over|over,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#over_clients
principal_clients,Clientes PRINCIPAL,general,Dados Gerais,Clientes classificados no segmento PRINCIPAL.,Clientes classificados no segmento PRINCIPAL.,,,clients,,no,no,,,,,,,,no,,,,,clientes principal|quantos principal|segmento principal|principal,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#principal_clients
private_clients,Clientes PRIVATE,general,Dados Gerais,Clientes classificados no segmento PRIVATE.,Clientes classificados no segmento PRIVATE.,,,clients,,no,no,,,,,,,,no,,,,,clientes private|quantos private|segmento private|private,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#private_clients
stay_duration_distribution,Tempo de permanência,general,Dados Gerais,"Distribuição do tempo de permanência em faixas, só com intervalos cronologicamente válidos.",Usa data de entrada e data analítica de cancelamento ou a data corrente; descarta negativos e datas inválidas.,,,clients,Sim,yes,no,,,,,,,,no,,,,,,"Tempo de permanência deve ser levado em consideração também a questão do ciclo, a criação de um campo de ""data_primeiro_ciclo"" ajudaria o cálculo,datas de início/cancelamento",,,,yes,yes,confiabilidade-indicadores - Página1 (1).csv | Dados Gerais | Tempo de permanência | Gráfico
total_clients,Total de clientes,general,Dados Gerais,Contagem de clientes distintos na carteira do payload de Dados Gerais.,count(distinct clients.id) no recorte do dashboard,,,clients,Sim,yes,no,,,,,,,,no,,public.clients.id,clients,id,total de clientes|quantos clientes temos|quantidade de clientes|total da carteira|tamanho da carteira|quantos clientes|numero de clientes|qual o total de clientes,,,,,yes,yes,portal-metric-catalog.mjs#total_clients
average_days_to_first_mechanism,Mediana até 1º mecanismo,journey,Jornada e Onboarding,Mediana dos dias até a primeira implementação válida registrada em public.client_mecanismos.,"Por cliente: primeira data válida de implementação em client_mecanismos − data inicial. Priorizar implemented_at, implantado_at ou data_implementacao; para status implementado, usar updated_at e depois created_at como fallback. Excluir negativos e calcular a mediana.",,,days,Avaliar,no,no,,,,,,,,no,,public.clients.data_inicio_ciclo|public.client_mecanismos.implemented_at|public.client_mecanismos.status,clients|client_mecanismos|client_mecanismos,data_inicio_ciclo|implemented_at|status,media ate o primeiro mecanismo na jornada|media de onboarding ate o primeiro mecanismo|media ate o primeiro mecanismo da jornada|average first implementation days jornada,data_inicio_ciclo/created_at e client_mecanismos.implemented_at/status,,,,yes,no,portal-metric-catalog.mjs#average_days_to_first_mechanism
average_days_to_first_meeting,Mediana até 1ª reunião,journey,Jornada e Onboarding,"Mediana (não média) na coorte única dos quatro prazos entre a data inicial e a primeira reunião do cliente. Na Jornada a primeira reunião é o menor client_meetings.start_time, sem exigir comparecimento. A tela Reuniões usa comparecimento e fallbacks — regras ainda divergentes.",Na coorte com os três marcos válidos e ordenados: dias = primeira client_meetings.start_time − data inicial; calcular a mediana.,,,days,Avaliar,no,no,,,,,,,,no,,public.clients.data_inicio_ciclo|public.client_meetings.start_time,clients|client_meetings,data_inicio_ciclo|start_time,media ate a primeira reuniao|dias ate a primeira reuniao|tempo medio ate a primeira reuniao,data_inicio_ciclo/created_at e client_meetings.start_time,,,,yes,no,portal-metric-catalog.mjs#average_days_to_first_meeting
average_days_to_plan_delivery,Mediana até entrega do plano,journey,Jornada e Onboarding,"Proxy: mediana dos dias entre a contratação e a primeira reunião Central de Inteligência, na mesma coorte cronológica dos três marcos.",Na coorte com onboarding ≤ primeira reunião ≤ entrega: dias = primeira reunião Central de Inteligência − data inicial; calcular a mediana.,,,days,Avaliar,no,no,,,,,,,,no,,public.clients.data_inicio_ciclo|public.client_meetings.start_time|public.client_meetings.event_name,clients|client_meetings|client_meetings,data_inicio_ciclo|start_time|event_name,media ate a entrega do plano|dias ate a entrega do plano|entrega do plano patrimonial,data_inicio_ciclo/created_at e reunião Central de Inteligência,,,,yes,no,portal-metric-catalog.mjs#average_days_to_plan_delivery
average_onboarding_days,Mediana onboarding total,journey,Jornada e Onboarding,"Proxy: mediana dos dias entre a contratação e o primeiro marco disponível, na mesma coorte cronológica de primeira reunião e entrega do plano.",Na coorte com os três marcos válidos e ordenados: usar o menor intervalo até a primeira reunião ou inclusão financeira e calcular a mediana.,,,days,Avaliar,no,no,,,,,,,,no,,public.clients.data_inicio_ciclo|public.clients.created_at|public.client_meetings.start_time|public.client_financial_data.created_at,clients|clients|client_meetings|client_financial_data,data_inicio_ciclo|created_at|start_time|created_at,media de onboarding|tempo total de onboarding|onboarding total,data_inicio_ciclo/created_at e primeiro marco reunião/financeiro,,,,yes,no,portal-metric-catalog.mjs#average_onboarding_days
completed_onboarding_clients,Concluíram onboarding,journey,Jornada e Onboarding,Contagem de clientes cujo estágio atual está fora dos estágios abertos OU que possuem primeira reunião OU dados financeiros informados.,"Para cada cliente: concluído quando o current_stage_id mais recente NÃO pertence aos estágios abertos (7c43c981..., ae3a6015..., 33bb253e...), OU existe primeira reunião, OU existe ao menos um registro em public.client_financial_data.",,,clients,Avaliar,no,no,,,,,,,,no,,public.client_journeys.current_stage_id|public.journey_stages.id|public.client_financial_data.client_id,client_journeys|journey_stages|client_financial_data,current_stage_id|id|client_id,concluiram onboarding|concluiu onboarding|onboarding concluido|clientes com onboarding concluido|contabilizados os clientes que concluiram onboarding|o que e onboarding|onboarding,"client_journeys.current_stage_id, primeira reunião ou client_financial_data",,,,yes,no,portal-metric-catalog.mjs#completed_onboarding_clients
days_to_first_mechanism_chart,Dias até primeiro mecanismo implementado,journey,Jornada e Onboarding,Distribuição dos dias até o primeiro mecanismo implementado.,Mesma amostra do cartão correspondente. Preenchimento retroativo pode distorcer.,,,clients,Recomendação: Não Levar,no,no,,,,,,,,no,,public.clients.undefined|public.client_financial_data.undefined|public.client_meetings.undefined|public.client_mecanismos.undefined|public.mecanismos.undefined|public.client_journeys.undefined,clients|client_financial_data|client_meetings|client_mecanismos|mecanismos|client_journeys,,,"Com o preenchimento retroativo dos dados, pode impactar no cálculo da média,Campos de data/marco usados pelo indicador correspondente.",,,,yes,no,confiabilidade-indicadores - Página1 (1).csv | Jornada e onboarding | Dias até primeiro mecanismo implementado | Gráfico
days_to_first_meeting_chart,Dias até a primeira reunião,journey,Jornada e Onboarding,Distribuição dos dias até a primeira reunião na coorte comparável de onboarding.,Mesma amostra do cartão de mediana até a 1ª reunião; intervalos não negativos.,,,clients,Avaliar,no,no,,,,,,,,no,,public.clients.undefined|public.client_financial_data.undefined|public.client_meetings.undefined|public.client_mecanismos.undefined|public.mecanismos.undefined|public.client_journeys.undefined,clients|client_financial_data|client_meetings|client_mecanismos|mecanismos|client_journeys,,,Campos de data/marco usados pelo indicador correspondente.,,,,yes,no,confiabilidade-indicadores - Página1 (1).csv | Jornada e onboarding | Dias até a primeira reunião | Gráfico
days_to_plan_delivery_chart,Dias até entrega do plano patrimonial,journey,Jornada e Onboarding,Distribuição dos dias até a entrega do plano na coorte comparável de onboarding.,Mesma amostra do cartão de mediana até entrega do plano.,,,clients,Avaliar,no,no,,,,,,,,no,,public.clients.undefined|public.client_financial_data.undefined|public.client_meetings.undefined|public.client_mecanismos.undefined|public.mecanismos.undefined|public.client_journeys.undefined,clients|client_financial_data|client_meetings|client_mecanismos|mecanismos|client_journeys,,,Campos de data/marco usados pelo indicador correspondente.,,,,yes,no,confiabilidade-indicadores - Página1 (1).csv | Jornada e onboarding | Dias até entrega do plano patrimonial | Gráfico
onboarding_completion_chart,Concluiu onboarding,journey,Jornada e Onboarding,Distribuição de quem concluiu ou não o onboarding entre clientes avaliáveis.,"Usa a classificação de conclusão (jornada fechada, primeira reunião ou dado financeiro).",,,clients,Sim,yes,no,,,,,,,,no,,public.clients.undefined|public.client_financial_data.undefined|public.client_meetings.undefined|public.client_mecanismos.undefined|public.mecanismos.undefined|public.client_journeys.undefined,clients|client_financial_data|client_meetings|client_mecanismos|mecanismos|client_journeys,,,Campos de data/marco usados pelo indicador correspondente.,,,,yes,yes,confiabilidade-indicadores - Página1 (1).csv | Jornada e onboarding | Concluiu onboarding | Gráfico
total_onboarding_time_chart,Tempo total de onboarding,journey,Jornada e Onboarding,Distribuição do tempo total de onboarding na coorte comparável.,Mesma amostra do cartão de mediana de onboarding total.,,,clients,Sim,yes,no,,,,,,,,no,,public.clients.undefined|public.client_financial_data.undefined|public.client_meetings.undefined|public.client_mecanismos.undefined|public.mecanismos.undefined|public.client_journeys.undefined,clients|client_financial_data|client_meetings|client_mecanismos|mecanismos|client_journeys,,,Campos de data/marco usados pelo indicador correspondente.,,,,yes,yes,confiabilidade-indicadores - Página1 (1).csv | Jornada e onboarding | Tempo total de onboarding | Gráfico
available_mechanisms,Vínculos cliente + mecanismo,mechanisms,Implementação de Mecanismos,Combinações únicas de cliente e mecanismo após deduplicação. Não é a quantidade de tipos do catálogo.,"count(distinct client_id, mecanismo_id) — soma de available por cliente.",,,mechanisms,,no,no,,,,,,,,no,,public.client_mecanismos.mecanismo_id,client_mecanismos,mecanismo_id,vinculos cliente mecanismo|vínculos cliente + mecanismo|mecanismos previstos para os clientes|recomendacoes de mecanismos|mecanismos disponiveis|quantos mecanismos foram previstos|associacoes cliente mecanismo,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#available_mechanisms
average_days_to_first_implementation,Tempo médio até a primeira implementação,mechanisms,Implementação de Mecanismos,Média aritmética dos dias até a primeira implementação (página Mecanismos — summary.averageDaysToFirstImplementation).,Média aritmética de daysToFirstImplementation dos clientes com valor calculável.,,,days,Recomendação: Não Levar,no,no,,,,,,,,no,,public.clients.data_inicio_ciclo|public.client_mecanismos.implemented_at,clients|client_mecanismos,data_inicio_ciclo|implemented_at,media ate a primeira implementacao|media de dias ate a primeira implementacao|media ate o primeiro mecanismo|dias ate o primeiro mecanismo|tempo medio ate o primeiro mecanismo|qual e a media ate a primeira implementacao|qual e a media ate o primeiro mecanismo,"Verificar com o Cadu para ajustar o BaseQV para ter essa informação,client_mecanismos.client_id/mecanismo_id e data/status de implementação.",,,,yes,no,portal-metric-catalog.mjs#average_days_to_first_implementation
catalog_coverage_chart,Cobertura do catálogo,mechanisms,Implementação de Mecanismos,Tipos do catálogo utilizados versus sem utilização.,Distinct mecanismo_id presentes no catálogo versus tipos sem nenhum vínculo.,,,types,Sim,yes,no,,,,,,,,no,,public.clients.undefined|public.client_mecanismos.undefined|public.mecanismos.undefined,clients|client_mecanismos|mecanismos,,,"client_id, mecanismo_id, status, implemented_at e dimensão do gráfico.",,,,yes,yes,confiabilidade-indicadores - Página1 (1).csv | Implementação de Mecanismos | Cobertura do catálogo | Gráfico
catalog_mechanisms,Tipos no catálogo,mechanisms,Implementação de Mecanismos,Quantidade de mecanismos distintos cadastrados em public.mecanismos. Não confundir com vínculos.,count(*) / count(distinct id) em public.mecanismos,,,mechanisms,,no,no,,,,,,,,no,,public.mecanismos.id,mecanismos,id,tipos no catalogo|tipos no catálogo|quantos tipos existem no catalogo|quantos tipos existem no catálogo|mecanismos cadastrados|catalogo de mecanismos,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#catalog_mechanisms
clients_with_exactly_one_available_mechanism,Clientes com exatamente 1 mecanismo disponível,mechanisms,Implementação de Mecanismos,Clientes cujo total de mecanismos disponíveis (deduplicados) é exatamente 1.,available === 1,,,clients,,no,no,,,,,,,,no,,public.client_mecanismos.mecanismo_id,client_mecanismos,mecanismo_id,clientes com exatamente 1 mecanismo disponivel|clientes com um mecanismo disponivel|usam 1 mecanismo disponivel,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#clients_with_exactly_one_available_mechanism
clients_with_exactly_one_implemented_mechanism,Clientes com exatamente 1 mecanismo implementado,mechanisms,Implementação de Mecanismos,Clientes com exatamente um mecanismo no status Implementado.,implemented === 1,,,clients,,no,no,,,,,,,,no,,public.client_mecanismos.status,client_mecanismos,status,clientes com exatamente 1 mecanismo implementado|clientes com um mecanismo implementado|usam 1 mecanismo implementado|possuem exatamente um mecanismo implementado,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#clients_with_exactly_one_implemented_mechanism
clients_with_exactly_one_in_progress_mechanism,Clientes com exatamente 1 mecanismo em andamento,mechanisms,Implementação de Mecanismos,Clientes com exatamente um mecanismo Em andamento.,inProgress === 1,,,clients,,no,no,,,,,,,,no,,public.client_mecanismos.status,client_mecanismos,status,clientes com exatamente 1 mecanismo iniciado|um mecanismo em andamento,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#clients_with_exactly_one_in_progress_mechanism
clients_with_mechanisms,Clientes com mecanismos — BASE QV,mechanisms,Implementação de Mecanismos,Clientes distintos com pelo menos um mecanismo vinculado na BASE QV (count distinct client_id).,count(distinct client_id) em client_mecanismos após deduplicação e filtros.,,,clients,Sim,yes,no,,,,,,,,no,,public.client_mecanismos.client_id,client_mecanismos,client_id,clientes com mecanismos|clientes que possuem mecanismos|clientes com ao menos 1 mecanismo|quantos clientes tem mecanismos|quantos clientes têm mecanismos|quantos clientes possuem mecanismos na base qv|clientes com mecanismos na base qv,"Levar para mostrar o tamanho do ""buraco"",client_mecanismos.client_id/mecanismo_id e data/status de implementação.",,,,yes,yes,portal-metric-catalog.mjs#clients_with_mechanisms
clients_with_recent_implementation,Clientes com implementação recente,mechanisms,Implementação de Mecanismos,Clientes com pelo menos um mecanismo implementado nos últimos 30 dias.,hasImplementationLast30Days === true,,,clients,Sim,yes,no,,,,,,,,no,,public.client_mecanismos.implemented_at,client_mecanismos,implemented_at,implementacao recente|implementaram nos ultimos 30 dias,"Número pode ter distorção, preenchimento retroativo dos dados de mecanismos,client_mecanismos.client_id/mecanismo_id e data/status de implementação.",,,,yes,yes,portal-metric-catalog.mjs#clients_with_recent_implementation
combined_people_with_mechanisms,Registros de clientes com mecanismos nas duas fontes,mechanisms,Implementação de Mecanismos,Soma bruta BASE QV + App Pharus quando não há chave confiável de deduplicação. Sempre informar a ressalva.,baseQvClientsWithMechanisms + appPharusUsersWithMechanisms (gross_sum),,,people,,no,no,,,,,,,,no,,,,,quantos clientes possuem mecanismos nas duas fontes|total consolidado de mecanismos|clientes com mecanismos nas duas fontes|soma base qv e app pharus,"Soma bruta; pode haver pessoas presentes em ambas as fontes.,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.",,,,yes,no,portal-metric-catalog.mjs#combined_people_with_mechanisms
days_since_last_implementation_chart,Dias desde a última implementação,mechanisms,Implementação de Mecanismos,Distribuição dos dias desde a última implementação.,Não levado na V2 (Dash Kids).,,,clients,Recomendação: Não Levar,no,no,,,,,,,,no,,public.clients.undefined|public.client_mecanismos.undefined|public.mecanismos.undefined,clients|client_mecanismos|mecanismos,,,"client_id, mecanismo_id, status, implemented_at e dimensão do gráfico.",,,,yes,no,confiabilidade-indicadores - Página1 (1).csv | Implementação de Mecanismos | Dias desde a última implementação | Gráfico
days_to_first_implementation_chart,Tempo até a primeira implementação,mechanisms,Implementação de Mecanismos,Distribuição do tempo até a primeira implementação.,Não levado na V2 (Dash Kids).,,,clients,Recomendação: Não Levar,no,no,,,,,,,,no,,public.clients.undefined|public.client_mecanismos.undefined|public.mecanismos.undefined,clients|client_mecanismos|mecanismos,,,"client_id, mecanismo_id, status, implemented_at e dimensão do gráfico.",,,,yes,no,confiabilidade-indicadores - Página1 (1).csv | Implementação de Mecanismos | Tempo até a primeira implementação | Gráfico
eligible_mechanisms,Aptos para iniciar,mechanisms,Implementação de Mecanismos,Vínculos com status Apto (ainda não iniciados).,Status apto → Apto. Soma de eligible por cliente.,,,mechanisms,,no,no,,,,,,,,no,,public.client_mecanismos.status,client_mecanismos,status,aptos para iniciar|mecanismos aptos|aptos|recomendacoes ainda nao iniciadas,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#eligible_mechanisms
implementation_rate,Percentual implementado,mechanisms,Implementação de Mecanismos,Vínculos implementados ÷ total de vínculos cliente+mecanismo × 100. Denominador nunca é a contagem de tipos (15 ou 19).,implementedMechanisms / availableMechanisms × 100,,,percent,Sim,yes,no,,,,,,,,no,,public.client_mecanismos.status,client_mecanismos,status,percentual implementado|taxa de implementacao|qual o percentual implementado,"Levar para mostrar o tamanho do ""buraco"",mecanismo_id, client_id, status e catálogo mecanismos.",,,,yes,yes,portal-metric-catalog.mjs#implementation_rate
implementations_by_month_chart,Implementações por mês,mechanisms,Implementação de Mecanismos,Implementações por mês com implemented_at ≤ agora.,Conta vínculos Implementado com data válida. Datas podem ser retroativas.,,,links,Sim,yes,no,,,,,,,,no,,public.clients.undefined|public.client_mecanismos.undefined|public.mecanismos.undefined,clients|client_mecanismos|mecanismos,,,"Número pode ter distorção, preenchimento retroativo dos dados de mecanismos,client_id, mecanismo_id, status, implemented_at e dimensão do gráfico.",,,,yes,yes,confiabilidade-indicadores - Página1 (1).csv | Implementação de Mecanismos | Implementações por mês | Gráfico
implemented_by_engineer_chart,Clientes com mecanismo implementado por EP,mechanisms,Implementação de Mecanismos,"Clientes com pelo menos um mecanismo implementado, sobre a carteira do EP.",Numerador = clientes com implemented > 0; denominador = carteira do EP no recorte de status/segmento.,,,clients,Sim,yes,no,,,,,,,,no,,public.clients.undefined|public.client_mecanismos.undefined|public.mecanismos.undefined,clients|client_mecanismos|mecanismos,,,"Número pode ter distorção, preenchimento retroativo dos dados de mecanismos,client_id, mecanismo_id, status, implemented_at e dimensão do gráfico.",,,,yes,yes,confiabilidade-indicadores - Página1 (1).csv | Implementação de Mecanismos | Clientes com mecanismo implementado por EP | Gráfico
implemented_by_segment_chart,Implementados por segmento,mechanisms,Implementação de Mecanismos,Mecanismos implementados por segmento.,Soma vínculos implementados agrupados pelo segmento do cliente.,,,links,Sim,yes,no,,,,,,,,no,,public.clients.undefined|public.client_mecanismos.undefined|public.mecanismos.undefined,clients|client_mecanismos|mecanismos,,,"client_id, mecanismo_id, status, implemented_at e dimensão do gráfico.",,,,yes,yes,confiabilidade-indicadores - Página1 (1).csv | Implementação de Mecanismos | Implementados por segmento | Gráfico
implemented_mechanisms,Mecanismos implementados,mechanisms,Implementação de Mecanismos,Vínculos cliente × mecanismo com status normalizado como Implementado (concluído). O gráfico Implementados por segmento usa somente esses vínculos.,Status concluido/implementado → Implementado. Soma de implemented por cliente.,,,mechanisms,Sim,yes,no,,,,,,,,no,,public.client_mecanismos.status|public.client_mecanismos.implemented_at,client_mecanismos|client_mecanismos,status|implemented_at,mecanismos implementados|recomendacoes implementadas|quantos foram implementados|vinculos implementados|mecanismos concluidos|implementados|implementados por segmento|andamento por segmento|quantos tem mecanismos implementados|quantos clientes tem mecanismos implementados|onde vejo mecanismos|onde encontro mecanismos,"Levar para mostrar o tamanho do ""buraco"",mecanismo_id, client_id, status e catálogo mecanismos.",,,,yes,yes,portal-metric-catalog.mjs#implemented_mechanisms
in_progress_mechanisms,Em andamento,mechanisms,Implementação de Mecanismos,Vínculos com status Iniciado / Em andamento.,Status iniciado → Em andamento. Soma de inProgress por cliente.,,,mechanisms,Sim,yes,no,,,,,,,,no,,public.client_mecanismos.status,client_mecanismos,status,em andamento|mecanismos em andamento|mecanismos iniciados|implementacoes em andamento,"Levar para mostrar o tamanho do ""buraco"",mecanismo_id, client_id, status e catálogo mecanismos.",,,,yes,yes,portal-metric-catalog.mjs#in_progress_mechanisms
mechanism_status_chart,Status dos vínculos,mechanisms,Implementação de Mecanismos,"Distribuição dos vínculos deduplicados por status (Apto, Em andamento, Implementado, Não informado).","Após dedupe client_id+mecanismo_id, conta vínculos por status normalizado.",,,links,Sim,yes,no,,,,,,,,no,,public.clients.undefined|public.client_mecanismos.undefined|public.mecanismos.undefined,clients|client_mecanismos|mecanismos,,,"client_id, mecanismo_id, status, implemented_at e dimensão do gráfico.",,,,yes,yes,confiabilidade-indicadores - Página1 (1).csv | Implementação de Mecanismos | Status dos vínculos | Gráfico
mechanism_type_usage_chart,Utilização por tipo de mecanismo,mechanisms,Implementação de Mecanismos,Utilização por tipo de mecanismo (vínculos).,Conta vínculos deduplicados por mecanismo.,,,links,Sim,yes,no,,,,,,,,no,,public.clients.undefined|public.client_mecanismos.undefined|public.mecanismos.undefined,clients|client_mecanismos|mecanismos,,,"client_id, mecanismo_id, status, implemented_at e dimensão do gráfico.",,,,yes,yes,confiabilidade-indicadores - Página1 (1).csv | Implementação de Mecanismos | Utilização por tipo de mecanismo | Gráfico
mechanisms_per_client_chart,Quantidade de mecanismos por cliente,mechanisms,Implementação de Mecanismos,Quantidade de mecanismos por cliente com vínculo.,Faixas 1–4 e 5 ou mais sobre clientes com pelo menos um vínculo.,,,clients,Sim,yes,no,,,,,,,,no,,public.clients.undefined|public.client_mecanismos.undefined|public.mecanismos.undefined,clients|client_mecanismos|mecanismos,,,"client_id, mecanismo_id, status, implemented_at e dimensão do gráfico.",,,,yes,yes,confiabilidade-indicadores - Página1 (1).csv | Implementação de Mecanismos | Quantidade de mecanismos por cliente | Gráfico
median_days_to_first_implementation,Tempo típico até a primeira implementação,mechanisms,Implementação de Mecanismos,Mediana dos dias entre a contratação e a primeira implementação concluída (página Mecanismos). A média também é calculada e exibida como complementar.,Por cliente: dias = primeira implemented_at de mecanismo Implementado − data de contratação. Mediana desses dias (valor típico). Média aritmética também disponível.,,,days,,no,no,,,,,,,,no,,public.clients.data_inicio_ciclo|public.client_mecanismos.implemented_at,clients|client_mecanismos,data_inicio_ciclo|implemented_at,tempo tipico ate a primeira implementacao|mediana ate a primeira implementacao|mediana ate o primeiro mecanismo|dias tipicos ate a primeira implementacao|tempo tipico ate o primeiro mecanismo,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#median_days_to_first_implementation
most_used_mechanism,Mecanismo mais utilizado,mechanisms,Implementação de Mecanismos,Mecanismo vinculado ao maior número de clientes distintos após deduplicação client_id+mecanismo_id (BASE QV). Não confundir com mais implementado nem com sugestões do App Pharus.,count(distinct client_id) group by mecanismo_id; maior contagem; empates retornados em ties,,,mechanism,Sim,yes,no,,,,,,,,no,,public.client_mecanismos.mecanismo_id|public.mecanismos.name,client_mecanismos|mecanismos,mecanismo_id|name,mecanismo mais utilizado|mecanismo mais usado|qual mecanismo aparece em mais clientes|mecanismo com mais clientes|tipo de mecanismo mais frequente,"Levar para mostrar o tamanho do ""buraco"",mecanismo_id, client_id, status e catálogo mecanismos.",,,,yes,yes,portal-metric-catalog.mjs#most_used_mechanism
